idx,p10_mean,p50_mean,p90_mean,p10_dev,p50_dev,p90_dev
1a,111475.4449464,111480.8918068,112281.9250236,391.611981888213,388.517219733395,664.760069107412
1b,105470.75709384,105475.1421612,106046.924608,305.044381528584,302.356121825309,456.014597517386
2,18600,18600,18960,200,200,348.711915483254
3a,0.00242559777032377,0.00242563705177405,0.00256092780673624,7.94083056622997e-05,7.93824367321228e-05,0.000102287955201685
3b,4.04453718779236e-11,5.13831591113192e-05,6.89623159675337e-05,4.65882400558824e-05,3.55622121882433e-05,4.65519093308466e-05
3c,0.000105489022106888,0.000110362435624687,0.000125885937763987,1.30833654140334e-05,9.86885171558469e-06,1.33794758309622e-05
3d,3.67260254302129e-05,3.77426618551526e-05,5.08318033275272e-05,9.15884387819473e-06,8.48652804601015e-06,1.01938600837522e-05
4a,0.000757005490386732,0.000757136188727112,0.000838748959576347,4.89284136551956e-05,4.88459027792397e-05,5.79007600003329e-05
4b,6.92421256415283e-06,7.29872421582527e-06,1.85376038086012e-05,6.17856986047812e-06,5.94789464212578e-06,9.05286389991302e-06
4c,0.000273121501563884,0.000279226949088943,0.000296714855721693,1.47070764278843e-05,1.10548867606519e-05,1.62884229842216e-05
4d,8.02941345070669e-05,8.74984123136355e-05,0.000102855042072157,1.4066469552075e-05,9.89512028777164e-06,1.52090436159532e-05
5,10800,18600,18600,5820.6528843421,5003.99840127872,5003.99840127872
6,3.67941777715991e-05,3.78115170617488e-05,5.30994288532486e-05,9.91201597903861e-06,9.24243438256945e-06,1.19148255479071e-05
