# idx, p10_mean, p50_mean, p90_mean, p10_dev, p50_dev, p90_dev
1a, 1.364e5, 1.111e5, 1.024e5, 0, 0, 0 # pressure at sensor 1 [N/m2]
1b, 1.285e5, 1.053e5, 1.002e5,  0, 0, 0 # pressure at sensor 2 [N/m2]
2, 1.947e4, 1.140e4,  1.021e4, 0, 0, 0 # time of max mobile free phase in Box A [s]
3a, 1.734e-3, 1.213e-3, 1.0353e-3, 0, 0, 0 # mobile free phase in Box A at 72h [kg]
3b, 6.842e-6, 3.351e-6, 1.073e-6, 0, 0, 0 # immobile free phase in Box A at 72h [kg]
3c, 3.429e-3, 1.115e-3, 8.765e-4, 0, 0, 0 # dissolved in water in Box A at 72h [kg]
3d, 4.937e-4, 7.905e-5, 1.749e-5, 0, 0, 0 # seal in Box A at 72h [kg]
4a, 3.593e-3, 2.223e-3, 8.925e-4, 0, 0, 0 # mobile free phase in Box B at 72h [kg]
4b, 8.539e-4, 4.744e-4, 2.461e-4, 0, 0, 0 # immobile free phase in Box B at 72h [kg]
4c, 4.375e-3, 3.145e-3, 2.958e-3, 0, 0, 0 # dissolved in water in Box B at 72h [kg]
4d, 8.490e-3, 5.593e-4, 1.605e-4, 0, 0, 0 # seal in Box B at 72h [kg]
5, 2.487e6, 2.151e5, 8.794e4, 0, 0, 0 # time when M exceeds 110% of Box C’s width [s]
6, 7.483e-3, 1.640e-4, 4.763e-4, 0, 0, 0 # total mass of CO2 in the top seal facies [kg]
