,p10_mean,p50_mean,p90_mean,p10_dev,p50_dev,p90_dev
1a,1.10E+05,1.10E+05,1.10E+05,1.92E+00,1.92E+00,1.92E+00
1b,1.04E+05,1.04E+05,1.04E+05,3.90E+00,3.90E+00,3.90E+00
2,1.38E+04,1.41E+04,1.74E+04,1.68E+03,1.68E+03,1.68E+03
3a,0.00E+00,7.61E-04,1.71E-03,7.12E-04,7.12E-04,7.12E-04
3b,0.00E+00,0.00E+00,1.44E-05,7.85E-06,7.85E-06,7.85E-06
3c,1.12E-03,2.20E-03,3.29E-03,9.06E-04,9.06E-04,9.06E-04
3d,3.88E-06,6.68E-06,1.84E-05,6.59E-06,6.59E-06,6.59E-06
4a,8.05E-10,2.43E-09,1.31E-05,6.67E-06,6.67E-06,6.67E-06
4b,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4c,4.29E-04,6.26E-04,8.37E-04,1.80E-04,1.80E-04,1.80E-04
4d,3.38E-09,1.33E-08,1.44E-07,7.46E-08,7.46E-08,7.46E-08
5,n/a,n/a,n/a,n/a,n/a,n/a
6,6.68E-06,1.20E-05,2.65E-05,8.92E-06,8.92E-06,8.92E-06
