# idx, p10_mean, p50_mean, p90_mean, p10_dev, p50_dev, p90_dev
1a,111092.907599,111182.346159,111243.951762,54.525473,54.525473,54.525473
1b,105235.791491,105299.623991,105342.052831,39.112776,39.112776,39.112776
2,16200.000000,17400.000000,18000.000000,663.567295,663.567295,663.567295
3a,0.000229,0.001145,0.001934,0.000627,0.000627,0.000627
3b,0.000019,0.000083,0.000140,0.000044,0.000044,0.000044
3c,0.001376,0.002318,0.003550,0.000802,0.000802,0.000802
3d,0.000129,0.000398,0.000657,0.000213,0.000213,0.000213
4a,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001
4b,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4c,0.000001,0.000010,0.000046,0.000029,0.000029,0.000029
4d,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000214,0.000520,0.000658,0.000175,0.000175,0.000175
