# idx, p10_mean, p50_mean, p90_mean, p10_dev, p50_dev, p90_dev
1a, 0, 0, 0, 0, 0, 0 # pressure at sensor 1 [N/m2]
1b, 0, 0, 0, 0, 0, 0 # pressure at sensor 2 [N/m2]
2, 0, 17e3, 0, 0, 0, 0 # time of max mobile free phase in Box A [s]
3a, 0, 0, 0.0, 0, 0, 0 # mobile free phase in Box A at 72h [kg]
3b, 0,0, 0.0, 0, 0, 0 # immobile free phase in Box A at 72h [kg]
3c, 0, 4e-3, 0, 0, 0, 0 # dissolved in water in Box A at 72h [kg]
3d, 0, 0.7e-3,0, 0, 0, 0 # seal in Box A at 72h [kg]
4a, 0, 0.0, 0, 0, 0, 0
4b, 0, 0e-3, 0, 0, 0, 0
4c, 0, 6.1e-5, 0, 0, 0, 0
4d, 0, 0.0, 0, 0, 0, 0
5, 0, 12e4, 0, 0, 0, 0 # time when M exceeds 110% of Box C’s width [s]
6, 0, 0, 0, 0, 0, 0 # total mass of CO2 in the top seal facies [kg]
