idx,p10_mean,p50_mean,p90_mean,p10_dev,p50_dev,p90_dev
1a,1.11E+05,1.11E+05,1.11E+05,1.00E+00,1.00E+00,1.00E+00
1b,1.05E+05,1.05E+05,1.05E+05,1.00E+00,1.00E+00,1.00E+00
2,1.00E+11,1.00E+09,432000,432000,432000,432000
3a,0.00E+00,0,0,1.00E-06,5.00E-07,1.00E-07
3b,0.00E+00,0,0,1.00E-06,5.00E-07,1.00E-07
3c,7.24E-05,7.24E-05,7.24E-05,1.00E-06,1.00E-06,1.00E-06
3d,5.24E-05,5.24E-05,5.24E-05,1.00E-06,1.00E-06,1.00E-06
4a,0.00E+00,0.00E+00,0.00E+00,1.00E-06,1.00E-06,1.00E-06
4b,2.37E-05,2.37E-05,2.37E-05,1.00E-06,1.00E-06,1.00E-06
4c,1.99E-03,1.99E-03,1.99E-03,1.00E-04,1.00E-04,1.00E-04
4d,5.77E-04,5.77E-04,5.77E-04,1.00E-05,1.00E-05,1.00E-05
5,8640000,8640000,8640000,3600,3600,3600
6,1.16E-04,1.16E-04,1.16E-04,1.00E-05,1.00E-05,1.00E-05
