# idx, p10_mean, p50_mean, p90_mean, p10_dev, p50_dev, p90_dev
1a (pa),111709.5425,112375.7389,112880.9439,354.7457059,275.1280796,306.4205336
1b (pa),104734.0265,105222.6039,105793.7958,236.0989309,187.6438417,278.6977969
2(s),15984.17306,17092.6207,17897.94533,74.06407937,322.9962789,119.6955934
3a,0.000402328,0.000582971,0.000750302,1.83E-05,3.84E-05,6.04E-05
3b,,,,,,
3c,0.003644835,0.003884338,0.004278152,,,
3d,0.000666583,0.000757962,0.000857116,0.000667221,0.000757962,0.000853543
4a,3.16E-17,3.39E-17,3.81E-17,,,
4b,,,,,,
4c,0.001570273,0.001611407,0.001619606,,,
4d,2.58E-06,3.81E-06,2.34E-05,,,
5 (m),12283.62313,13059.20026,14023.2197,125.9389721,152.9597649,268.419846
